Time,Latitude,Longitude,Unit,Operator,Technology,Service,Action,Direction,Host,Resolved Target IP,Duration,Application Throughput,IP Throughput,Max IP Throughput,IP Throughput DL,Max IP Throughput DL,IP Throughput UL,Max IP Throughput UL,Bytes Transferred DL,Bytes Transferred UL,Test Name,Direction.1,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap
2025-11-22 16:51:08.659000-05:00,41.698901,-86.23492,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,9.308,858.537,552.152,1647.624,5269.472,12867.104,552.152,1647.624,,998908.0,Instagram,Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:52:46.746000-05:00,41.698934,-86.234754,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,4.979,1605.299,853.032,7247.16,8480.2,16355.928,853.032,7247.16,,999098.0,Instagram,Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6695.0,Concourse
2025-11-22 16:54:44.968000-05:00,41.698717,-86.234522,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.603,1426.559,2527.216,10596.944,4697.68,36065.344,2527.216,10596.944,,999126.0,Instagram,Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:56:52.234000-05:00,41.698708,-86.234455,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,4.412,1811.527,2289.712,8924.696,6989.952,17467.64,2289.712,8924.696,,999057.0,Instagram,Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6615.0,Bowl
2025-11-22 16:59:06.554000-05:00,41.698723,-86.234491,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.066,1578.206,1489.624,8337.8,7789.472,12452.72,1489.624,8337.8,,999399.0,Instagram,Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6615.0,Bowl
2025-11-22 16:59:55.180000-05:00,41.697976,-86.234472,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,,,,,,,,,,999142.0,Instagram,Send,System Release,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
2025-11-22 17:03:56.090000-05:00,41.697969,-86.234455,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,57.144.204.192,6.094,1311.642,1194.016,4923.488,7995.728,29123.416,1194.016,4923.488,,999143.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6375.0,Bowl
2025-11-22 17:04:24.955000-05:00,41.698723,-86.234468,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,,,,,,,,,,998958.0,Instagram,Send,System Release,Bowl,7c36e7df,Verizon,LTE,,Bowl
2025-11-22 17:09:55.320000-05:00,41.69795,-86.233377,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,8.297,963.625,1322.408,3805.4,4511.176,15186.096,1322.408,3805.4,,999400.0,Instagram,Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 17:10:13.380000-05:00,41.697952,-86.234758,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,FC00:000A:000A:0000:0000:0000:0000:0400,,,,,,,,,,999006.0,Instagram,Send,System Release,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
2025-11-22 17:12:52.967000-05:00,41.698054,-86.234438,QualiPoc_396840,Verizon,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,,,,,,,,,,998910.0,Instagram,Send,System Release,Bowl,7c36e7df,Wi-Fi 6,LTE,6775.0,Bowl
2025-11-22 17:12:52.967000-05:00,41.698054,-86.234438,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,,,,,,,,,,998910.0,Instagram,Send,System Release,Bowl,7c36e7df,Wi-Fi 6,LTE,6775.0,Bowl
2025-11-22 17:13:13.865000-05:00,41.697947,-86.233391,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,7.343,1088.297,1573.576,6316.264,4472.848,20654.064,1573.576,6316.264,,998921.0,Instagram,Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,5975.0,Bowl
2025-11-22 17:13:25.545000-05:00,41.697945,-86.23478,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.415,1475.971,1359.352,5029.936,10828.48,29252.432,1359.352,5029.936,,999048.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6775.0,Bowl
2025-11-22 17:15:16.179000-05:00,41.697986,-86.233254,QualiPoc_619529,T-Mobile,LTE,Instagram,Post Picture,SEND,,,1.975,4046.299,0.0,0.0,0.0,0.0,0.0,0.0,,998930.0,Instagram,Send,Completed,Bowl,64957d65,T-Mobile,LTE,,Bowl
2025-11-22 17:16:09.428000-05:00,41.698065,-86.234441,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,11.413,700.323,475.552,1000.624,3921.872,9155.88,475.552,1000.624,,999099.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl
2025-11-22 17:17:44.384000-05:00,41.697988,-86.233255,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,4.102,1948.54,2509.504,12993.672,12539.152,41600.44,2509.504,12993.672,,999114.0,Instagram,Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6055.0,Bowl
