Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Send Duration,Delivery Duration,Start Time,Receive Time,Transmission Status,Delivery Status,Delivery Notification,Action Type,File Size,Measurement Name,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 12:24:28.570000-05:00,41.698466,-86.233357,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,0.317,0.949,2026-02-26 12:24:26.731,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:24:40.785000-05:00,41.698466,-86.233369,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,1.851,3.953,2026-02-26 12:24:36.176,,Successful,Successful,Enabled,Send Picture,999089.0,WhatsApp Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:26:11.113000-05:00,41.698839,-86.233382,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.639,1.334,2026-02-26 12:26:09.524,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,Wi-Fi 5,LTE,5640.0,Bowl,AT&T
2026-02-26 12:26:21.197000-05:00,41.698838,-86.233382,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.559,3.164,2026-02-26 12:26:17.747,,Successful,Successful,Enabled,Send Picture,999064.0,WhatsApp Send,Completed,Bowl,fbd516f0,Wi-Fi 5,LTE,5640.0,Bowl,AT&T
2026-02-26 12:27:48.445000-05:00,41.697973,-86.233335,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,0.296,1.644,2026-02-26 12:27:45.983,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:27:58.639000-05:00,41.697969,-86.233348,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,1.33,1.643,2026-02-26 12:27:56.236,,Successful,Successful,Enabled,Send Picture,999017.0,WhatsApp Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:29:31.395000-05:00,41.698447,-86.23335,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,0.368,2.01,2026-02-26 12:29:28.791,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:29:40.838000-05:00,41.69845,-86.23335,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,1.471,1.667,2026-02-26 12:29:38.453,,Successful,Successful,Enabled,Send Picture,999001.0,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:29:44.389000-05:00,41.697962,-86.233357,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,0.65,1.011,2026-02-26 12:29:42.708,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6615.0,Bowl,T-Mobile
2026-02-26 12:29:54.696000-05:00,41.698439,-86.233379,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.211,2.016,2026-02-26 12:29:52.370,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:29:55.098000-05:00,41.697964,-86.233361,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,1.577,2.028,2026-02-26 12:29:52.294,,Successful,Successful,Enabled,Send Picture,999171.0,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6615.0,Bowl,T-Mobile
2026-02-26 12:30:05.310000-05:00,41.698439,-86.233378,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,2.021,3.699,2026-02-26 12:30:01.324,,Successful,Successful,Enabled,Send Picture,998912.0,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:32:01.940000-05:00,41.698457,-86.233406,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,0.327,2.241,2026-02-26 12:31:58.989,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6035.0,Bowl,Verizon
