Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Data Test,Data Test Action,Direction,Host,Resolved Target IP,Duration,Application Throughput,IP Throughput,Max IP Throughput,IP Throughput DL,Max IP Throughput DL,IP Throughput UL,Max IP Throughput UL,Bytes Transferred DL,Bytes Transferred UL,Test Name,Direction.1,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 11:53:33.689000-05:00,41.698362,-86.234683,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,7.157,1116.825,1694.224,9194.872,12931.976,62687.224,1694.224,9194.872,,999140.0,Instagram,Send,Completed,Bowl,7c36e7df,Wi-Fi 6,NR-NSA,6635.0,Bowl,Verizon
2026-02-26 11:54:40.474000-05:00,41.698851,-86.234677,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.036,1587.576,168.736,535.416,7625.624,22842.544,168.736,535.416,,999379.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 11:56:19.810000-05:00,41.69884,-86.23469,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,5.339,1497.71,1489.824,12196.608,19311.104,39214.824,1489.824,12196.608,,999534.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6315.0,Bowl,T-Mobile
2026-02-26 11:57:06.868000-05:00,41.698353,-86.234483,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,4.889,1635.168,968.104,8209.832,9360.528,27090.536,968.104,8209.832,,999292.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 11:57:07.688000-05:00,41.698367,-86.234449,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,5.031,1588.341,950.728,8123.176,3287.264,5286.88,950.728,8123.176,,998868.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,LTE,,Bowl,AT&T
2026-02-26 11:58:46.183000-05:00,41.698836,-86.23447,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,129.134.149.160,6.411,1247.138,1253.112,8371.216,17345.32,39914.864,1253.112,8371.216,,999425.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6315.0,Bowl,T-Mobile
2026-02-26 12:00:06.686000-05:00,41.698358,-86.234445,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,129.134.149.160,5.08,1573.266,1027.952,8501.896,19980.328,44020.72,1027.952,8501.896,,999024.0,Instagram,Send,Completed,Bowl,fbd516f0,Wi-Fi 6,LTE,6015.0,Bowl,AT&T
2026-02-26 12:01:14.768000-05:00,41.698839,-86.234476,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.034,1587.685,649.48,5656.752,10126.984,20957.648,649.48,5656.752,,999051.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:05:02.368000-05:00,41.698861,-86.234462,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,6.675,1197.517,72.328,202.576,6020.032,25506.984,72.328,202.576,,999178.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,LTE,,Bowl,Verizon
2026-02-26 12:05:25.071000-05:00,41.698852,-86.234442,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,6.767,1181.307,854.12,9402.304,14834.024,36411.624,854.12,9402.304,,999238.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
