Time,Latitude,Longitude,Unit,Operator,Browsing Duration,Download Duration,IP Throughput,Access Duration,Time To First Byte,Kbytes In First Second,Round Trip Time (RTT),Size Of Webpage,Number of Redirections,Browser,Page Complete Criterion,Number of Resources,Number of Resources not loaded,Number of Images,APN,Primary DNS,IP,Resolved Target IP,Host,Protocol,Operation,AP Type,AP Profile Name,Test Name,Direction,Test Status,Location,uuid,Data Technology Reporting,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap
2025-11-08 21:48:07.571000-05:00,41.697938,-86.232998,QualiPoc_361786,AT&T,2.868,2.338,3037.597101047984,340.0,529.0,370.7992775609493,93.0,887.735,1,Android 14 - WebView 117.0.5938.60,Page download completed,51,0,4,enhancedphone,,10.4.148.124,23.193.194.5,espn.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,NR-NSA,,Concourse
2025-11-08 21:48:14.128000-05:00,41.697933,-86.232993,QualiPoc_361786,AT&T,5.315,1.191,24588.74223341728,216.0,441.0,732.5517498078897,89.0,3660.649,1,Android 14 - WebView 117.0.5938.60,Page download completed,142,0,6,enhancedphone,,10.4.148.124,69.147.65.251,sports.yahoo.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,NR-NSA,,Concourse
2025-11-08 21:48:20.307000-05:00,41.697949,-86.232953,QualiPoc_361786,AT&T,4.979,0.39,144225.76410256402,273.0,411.0,1505.0891707310352,85.0,7031.006,2,Android 14 - WebView 117.0.5938.60,Page download completed,359,1,38,enhancedphone,,10.4.148.124,151.101.146.132,foxsports.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,NR-NSA,,Concourse
2025-11-08 21:48:26.487000-05:00,41.697928,-86.232953,QualiPoc_361786,AT&T,4.918,0.618,64874.35598705504,327.0,477.0,1100.0417930995702,86.0,5011.544,1,Android 14 - WebView 117.0.5938.60,Page download completed,68,0,12,enhancedphone,,10.4.148.124,104.18.87.42,bleacherreport.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,NR-NSA,,Concourse
2025-11-08 21:49:57.737000-05:00,41.697306,-86.233943,QualiPoc_396840,Verizon,2.257,0.118,415583.5932203392,215.0,375.0,3197.7507762419823,44.0,6129.858,2,Android 14 - WebView 117.0.5938.60,Page download completed,37,0,6,VZWINTERNET,,2600:1008:B053:2936:491B:092A:28DD:1AFD,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,instagram.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
2025-11-08 21:49:59.496000-05:00,41.697904,-86.232935,QualiPoc_361786,AT&T,2.18,0.483,54493.44927536232,104.0,304.0,1763.4092429335938,15.0,3290.042,2,Android 14 - WebView 117.0.5938.60,Page download completed,34,0,6,enhancedphone,,10.12.22.147,57.144.204.192,instagram.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
2025-11-08 21:50:00.476000-05:00,41.697291,-86.233934,QualiPoc_396840,Verizon,1.582,0.934,10656.57387580296,295.0,426.0,1586.155505466709,31.0,1244.155,1,Android 14 - WebView 117.0.5938.60,Page download completed,6,0,1,VZWINTERNET,,100.95.22.252,146.75.40.159,x.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
2025-11-08 21:50:02.872000-05:00,41.697889,-86.232934,QualiPoc_361786,AT&T,2.143,1.32,7980.278787878792,312.0,418.0,968.2867211031632,116.0,1316.746,1,Android 14 - WebView 117.0.5938.60,Page download completed,6,0,1,enhancedphone,,10.12.22.147,199.232.72.159,x.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
2025-11-08 21:50:07.650000-05:00,41.697844,-86.233021,QualiPoc_361786,AT&T,3.592,0.315,81091.0222222224,774.0,884.0,1174.4346604284376,101.0,3192.959,2,Android 14 - WebView 117.0.5938.60,Page download completed,124,0,6,enhancedphone,,10.12.22.147,23.220.206.135,tiktok.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
2025-11-08 21:50:09.766000-05:00,41.697306,-86.233937,QualiPoc_396840,Verizon,8.032,2.125,12062.41129411768,366.0,503.0,419.5471201226875,42.0,3204.078,2,Android 14 - WebView 117.0.5938.60,Page download completed,134,0,6,VZWINTERNET,,100.95.22.252,23.51.25.74,tiktok.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
