Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Browsing Duration,Download Duration,IP Throughput,Access Duration,Time To First Byte,Kbytes In First Second,Round Trip Time (RTT),Size of Webpage,Number of Redirections,Browser,Page Complete Criterion,Number of Resources,Number of Resources not loaded,Number of Images,APN,Primary DNS,IP,Resolved Target IP,Host,Protocol,Operation,AP Type,AP Profile Name,Test Name,Direction,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 12:42:19.043000-05:00,41.697966,-86.233142,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,5.109,4.356,3089.00166041748,262.0,473.0,377.0748590306475,40.0,1681.959,2,Android 16 - WebView 134.0.6998.135,Page download completed,24,0,2,enhancedphone,,2600:0382:AC07:8D8F:596A:F446:441E:8C1D,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,instagram.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,Wi-Fi 6,NR-NSA,6275.0,Bowl,AT&T
2026-02-26 12:42:22.177000-05:00,41.697965,-86.233147,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.917,1.441,18365.18301879,283.0,430.0,2241.837807945869,28.0,3308.02,2,Android 16 - WebView 134.0.6998.135,Page download completed,138,0,6,enhancedphone,,10.12.130.233,23.51.25.96,tiktok.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,Wi-Fi 6,NR-NSA,6275.0,Bowl,AT&T
2026-02-26 12:42:24.858000-05:00,41.697964,-86.233149,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.538,1.238,7692.878999523327,88.0,222.0,939.072123636914,16.0,1190.473,2,Android 16 - WebView 134.0.6998.135,Page download completed,59,0,11,enhancedphone,,10.12.130.233,57.144.204.6,facebook.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,Wi-Fi 6,NR-NSA,6275.0,Bowl,AT&T
2026-02-26 12:42:28.466000-05:00,41.697964,-86.233149,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,2.469,2.102,39350.13808644312,219.0,356.0,4803.482825136777,21.0,10339.247,1,Android 16 - WebView 134.0.6998.135,Page download completed,251,2,70,enhancedphone,,10.12.130.233,23.54.42.4,ncaa.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,Wi-Fi 6,NR-NSA,6275.0,Bowl,AT&T
2026-02-26 12:42:32.861000-05:00,41.697964,-86.233149,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,3.16,2.724,11695.12200770904,269.0,447.0,1427.6282580763575,25.0,3982.192,1,Android 16 - WebView 134.0.6998.135,Page download completed,201,1,33,enhancedphone,,10.12.130.233,69.147.65.251,sports.yahoo.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,Wi-Fi 6,NR-NSA,6275.0,Bowl,AT&T
2026-02-26 12:42:53.120000-05:00,41.697986,-86.233379,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,7.16,1.798,41726.56422010688,196.0,5305.0,5093.555013382929,31.0,9378.009,2,Android 14 - WebView 117.0.5938.60,Page download completed,35,0,6,VZWINTERNET,,2600:1008:B000:2CB0:49B4:D3EB:7331:6575,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,instagram.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Verizon,LTE,,Bowl,Verizon
2026-02-26 12:43:00.121000-05:00,41.697985,-86.233379,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,5.839,5.358,5742.878005281704,340.0,475.0,701.0349958589961,33.0,3846.293,2,Android 14 - WebView 117.0.5938.60,Page download completed,140,0,6,VZWINTERNET,,100.108.205.122,23.51.25.143,tiktok.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:43:03.347000-05:00,41.697985,-86.233379,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,2.01,1.592,5872.308414324968,126.0,263.0,716.8373606312813,28.0,1168.594,2,Android 14 - WebView 117.0.5938.60,Page download completed,59,0,11,VZWINTERNET,,2600:1008:B000:2CB0:49B4:D3EB:7331:6575,2A03:2880:F366:0006:FACE:B00C:0000:14C9,facebook.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:43:08.061000-05:00,41.697988,-86.23338,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,3.56,3.161,25345.26909817128,216.0,333.0,3093.909722496836,28.0,10014.565,1,Android 14 - WebView 117.0.5938.60,Page download completed,243,2,53,VZWINTERNET,,2600:1008:B000:2CB0:49B4:D3EB:7331:6575,2600:1407:3C00:0988:0000:0000:0000:3134,ncaa.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:43:11.395000-05:00,41.697988,-86.23338,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,2.193,1.788,10757.22924924344,134.0,262.0,1313.135202565713,29.0,2404.235,1,Android 14 - WebView 117.0.5938.60,Page download completed,111,0,7,VZWINTERNET,,2600:1008:B000:2CB0:49B4:D3EB:7331:6575,2001:4998:0060:0807:0000:0000:0000:0001,sports.yahoo.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
